"ID","Attending","Graduate_On","Plan_attend","Completed","Completed_On","Graduated","Graduation_Date","ID_PK","Study","Grad_Date_Change","Completed_Date_Change","Graduation_Date_Change","Degree_Recieved"
"10998","Coon Rapids High School","06/02/13 00:00:00","University of Minnesota/ US Army Basic Training","Coon Rapids Middle School","06/10/09 00:00:00",,"01/01/12 00:00:00","6313","Business Administration",,,"Year-Only",
"10999","Coon Rapids High School","06/02/14 00:00:00"," University of Minnesota-Duluth","Northdale, middle school","06/09/12 00:00:00",,"01/01/12 00:00:00","6314","Education",,,"Year-Only",
"10997","Coon Rapids High School","06/01/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6315",,,"Year-Only","Year-Only",
"11002","Coon Rapids High School","06/09/14 00:00:00","St Thomas University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6316","Education",,"Year-Only","Year-Only",
"11021","Point Pleasant High School","05/01/12 00:00:00","Bridgemont",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6330","Engineering","Month-Only","Year-Only","Year-Only",
"11105","Superhero High","05/23/13 00:00:00","Hero University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6394","Kick Butt Administration",,"Year-Only","Year-Only",
"11110","Superhero University","05/24/13 00:00:00",,"Superhero Training","10/20/12 00:00:00","Superhero High","08/23/12 00:00:00","6395","Superhero Expert",,,,"ACTIVE SUPERHERO"
"11104","Sky High","06/01/13 00:00:00","Sky College","Hero Training","05/10/11 00:00:00",,"01/01/12 00:00:00","6396","Heroics",,,"Year-Only",
"11122",,"01/01/12 00:00:00","Roxbury Community College",,"01/01/12 00:00:00","Boston Collegiate Charter School","06/09/09 00:00:00","6405","Biologocal Science","Year-Only","Year-Only",,
"11124",,"01/01/12 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6407",,"Year-Only","Year-Only","Year-Only",
"11125","Ashland University","05/15/13 00:00:00",,"Humboldt State Univ.","01/01/12 00:00:00","University of NM","01/01/12 00:00:00","6408","American History & Government",,"Year-Only","Year-Only","BA, MA"
"11226","Winnisquam Regional High School","06/01/15 00:00:00","Johnson and whales",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6474","Culinary arts","Month-Only","Year-Only","Year-Only",
